basin_id,NSE
02FC011,-0.3899471702876094
02FC012,-0.4156338101654542
02FC013,
02FC014,
02FC015,-0.7670413818447914
02FC016,-0.50667407270459
02FC017,0.07287397781879024
02FC018,
02FC019,
02FC020,-0.4857749447576061
02FC021,-1.1641806656378617
02FD001,-0.15959521073832406
02FD002,-0.13974752949498837
02FD003,-0.14855813788844507
02FE001,
02FE002,-0.41202196064528396
02FE003,-0.06535517268131263
02FE004,
02FE005,-0.3165504132695627
02FE007,-0.3832730436152765
02FE008,-0.31106804973890956
02FE009,-0.3224450503935674
02FE010,-0.2532640542342186
02FE011,-0.1606961674308156
02FE013,-0.2672073600219089
02FE014,-0.10540308501750206
02FE015,-0.45046030690992533
02FE016,-0.15694246855721317
02FE017,-0.24666408363752335
02FE018,-0.0936131575920145
02FF001,
02FF002,-0.34226139165563096
02FF003,
02FF004,0.07126521100756467
02FF005,
02FF006,
02FF007,-0.27009233485806083
02FF008,-0.11002019710645339
02FF009,-0.16154803720689803
02FF011,-0.12089820335141432
02FF012,
02FF013,-0.18809807779102994
02FF014,-0.16168372001017217
02FF015,-0.5578952401823005
02FF016,-0.14366328039955212
02GA001,
02GA002,
02GA003,-0.6739397689087008
02GA004,
02GA005,-0.17784440344575203
02GA006,-0.416909226228219
02GA007,
02GA008,
02GA009,
02GA010,-0.45517509269696244
02GA011,
02GA012,
02GA013,
02GA014,-0.250740361555418
02GA015,-0.8380078091357401
02GA016,-0.40401771800891084
02GA017,
02GA018,-0.21140902074727164
02GA020,
02GA022,
02GA023,-0.18375743432233604
02GA024,0.04327685669329939
02GA027,
02GA028,-0.33713905994051974
02GA029,-0.7503582468322265
02GA030,-0.16434440867615718
02GA031,0.1519914258221361
02GA033,
02GA034,-0.44238931034811535
02GA035,
02GA036,
02GA037,
02GA038,-0.16893511053784804
02GA039,-0.1748159472055113
02GA040,-0.3722194630881943
02GA041,-0.03260135881435722
02GA042,-0.09560371773911736
02GA043,-5.945300715932857
02GA045,-598.3420195810064
02GA047,-1.0976771022097407
02GA048,-0.45849150011078743
02GA049,-0.06910324484797536
02GA050,0.0860159823774902
02GB001,-0.8188432323298473
02GB002,
02GB003,
02GB004,
02GB005,
02GB006,-0.3856911872468878
02GB007,-0.46156649156518736
02GB008,-0.6015553974257606
02GB009,
02GB011,
02GC001,
02GC002,-0.1595861438362527
02GC004,
02GC005,
02GC006,-1.3255392251872737
